Brand,pH,Ca,Mg,HCO3,K,Na,Cl,SO4,NO3,TDS
Distilled water,7,0,0,0,0,0,0,0,0,0
Aqua Carpatica 2L,7.97,47.9,13.5,217.7,0,0.83,0,0,1.8,155
Aqua Carpatica 5L,7.5,24.4,6.49,114.7,0,2.5,0,0,2.9,112
Bucovina,7.27,9.126,2.51,42.7,1.312,3.023,5,3.91,3.93,78
Keia ,7.6,40,1.93,170.8,0,4.82,0,0,0.03,187
Zizin,7,71.73,3.31,231.8,0.59,5.08,14.97,23,0,207
Izvorul Minunilor,7,17.2,3.45,71.8,0.53,0.74,0,0,0,81.4
Carpatina,8.3,57.04,3.094,164.7,0.348,0.295,3.26,19.34,0,166
Borsec,7.44,62.57,28.71,324.5,0,2.36,0,0,0,275
Vittel ,7.8,94,20,248,5,7.7,4,120,0.5,400
Smart Water,7.5,61,4.5,24,4.6,0,0,2,0.05,209
Evian ,7.2,80,26,360,1,6.5,10,14,3.8,345
Aquatique,7.8,33.7,1.46,112,0,0.93,0,16,0,90
San Benedetto,7.46,51.4,29.7,296,0.97,6,2.6,4.2,9,264
Cheile Bicazului ,7.6,95.8,14.1,357,7,13.25,16,30,0,450
Perenna,7.2,94.9,7.8,327.3,0.6,1.7,1,15.8,0,329
Aqua Panna,8,32.2,6.5,106,0.8,6.6,7.8,22,2.9,141
Azuga,8.2,43.2,6.29,161,0.75,2.59,3.37,0,0.01,191
Dorna,7.71,62.73,1.46,191,0.4,0.93,4.8,0,7.2,192
Artesia,7,131.7,14.4,538.3,2.46,27,0,0,0,465.5
